               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,           0.0068933,           0.0028726,            0.031433,             0.33333,                   1,             0.36792,             0.36792,          0.00073398,           0.0012711,             0.01144,             0.00448,             0.00448,             0.00448
                  71,           0.0064991,           0.0027642,            0.031598,             0.33333,                   1,             0.37908,             0.37908,          0.00071214,           0.0016927,             0.01148,              0.0044,              0.0044,              0.0044
                  72,           0.0061057,           0.0025698,            0.031635,             0.33333,                   1,             0.37397,             0.37397,          0.00066952,           0.0022049,            0.011456,             0.00432,             0.00432,             0.00432
                  73,           0.0050974,           0.0025697,            0.028967,             0.33333,                   1,             0.37851,             0.37851,           0.0012232,           0.0022927,            0.011423,             0.00424,             0.00424,             0.00424
                  74,           0.0054947,           0.0025232,            0.030107,             0.33333,                   1,             0.37475,             0.37475,           0.0012927,           0.0020091,            0.011427,             0.00416,             0.00416,             0.00416
                  75,           0.0055304,            0.002555,            0.029869,             0.33333,                   1,             0.37742,             0.37742,           0.0012588,            0.001444,            0.011449,             0.00408,             0.00408,             0.00408
                  76,           0.0050355,           0.0025121,            0.029197,             0.33333,                   1,             0.36914,             0.36914,          0.00062957,           0.0015712,            0.011448,               0.004,               0.004,               0.004
                  77,            0.005912,           0.0025799,            0.030288,             0.33333,                   1,             0.37203,             0.37203,          0.00071516,           0.0018831,            0.011457,             0.00392,             0.00392,             0.00392
                  78,           0.0051801,           0.0026846,            0.030194,             0.33333,                   1,             0.37164,             0.37164,           0.0010169,            0.002089,            0.011453,             0.00384,             0.00384,             0.00384
                  79,           0.0052513,           0.0025906,            0.030325,             0.33333,                   1,             0.36453,             0.36453,            0.001077,           0.0017316,            0.011463,             0.00376,             0.00376,             0.00376
                  80,             0.00533,           0.0024665,            0.031069,             0.33333,                   1,             0.36825,             0.36825,           0.0010704,           0.0013274,            0.011442,             0.00368,             0.00368,             0.00368
                  81,           0.0046072,           0.0024674,            0.028788,             0.33333,                   1,              0.3647,              0.3647,           0.0010084,           0.0013309,            0.011422,              0.0036,              0.0036,              0.0036
                  82,           0.0058295,            0.002475,            0.031979,             0.33333,                   1,              0.3658,              0.3658,          0.00094213,           0.0012766,            0.011398,             0.00352,             0.00352,             0.00352
                  83,           0.0049467,            0.002532,            0.028721,             0.33333,                   1,             0.37146,             0.37146,          0.00034755,            0.001484,            0.011385,             0.00344,             0.00344,             0.00344
                  84,           0.0048487,           0.0024931,            0.030081,             0.33333,                   1,             0.36786,             0.36786,          0.00083206,           0.0020147,            0.011389,             0.00336,             0.00336,             0.00336
                  85,           0.0043043,           0.0022609,            0.029381,             0.33333,                   1,             0.36903,             0.36903,          0.00087447,           0.0017564,            0.011429,             0.00328,             0.00328,             0.00328
                  86,           0.0043195,           0.0023447,            0.029603,             0.33333,                   1,             0.36383,             0.36383,            0.001049,          0.00064811,            0.011451,              0.0032,              0.0032,              0.0032
                  87,           0.0045886,           0.0023229,            0.028502,             0.33333,                   1,             0.36343,             0.36343,          0.00059701,          0.00077587,            0.011471,             0.00312,             0.00312,             0.00312
                  88,           0.0049505,           0.0022863,             0.03015,             0.33333,                   1,             0.36235,             0.36235,          0.00097433,           0.0018806,            0.011469,             0.00304,             0.00304,             0.00304
                  89,           0.0048121,           0.0022316,            0.031581,             0.33333,                   1,             0.36307,             0.36307,           0.0004514,           0.0017284,            0.011478,             0.00296,             0.00296,             0.00296
                  90,           0.0060042,           0.0022937,            0.031364,             0.33333,                   1,             0.37228,             0.37228,          0.00084922,           0.0021346,            0.011454,             0.00288,             0.00288,             0.00288
                  91,           0.0054492,           0.0023148,            0.030496,             0.33333,                   1,             0.36601,             0.36601,          0.00050801,           0.0014374,            0.011438,              0.0028,              0.0028,              0.0028
                  92,            0.004696,           0.0022532,            0.030472,             0.33333,                   1,             0.37703,             0.37703,          0.00055897,           0.0018344,            0.011432,             0.00272,             0.00272,             0.00272
                  93,           0.0040718,           0.0021416,            0.031005,             0.33333,                   1,               0.376,               0.376,          0.00045748,           0.0018027,            0.011423,             0.00264,             0.00264,             0.00264
                  94,           0.0039245,           0.0021167,            0.028835,             0.33333,                   1,             0.36975,             0.36975,          0.00053807,            0.001833,            0.011433,             0.00256,             0.00256,             0.00256
                  95,           0.0038011,            0.002174,            0.031107,             0.33333,                   1,             0.36136,             0.36136,          0.00039342,           0.0016769,            0.011429,             0.00248,             0.00248,             0.00248
                  96,            0.004116,           0.0021064,            0.030522,             0.33333,                   1,             0.37004,             0.37004,           0.0010945,           0.0017873,            0.011425,              0.0024,              0.0024,              0.0024
                  97,           0.0036286,           0.0020727,            0.028523,             0.33333,                   1,             0.36672,             0.36672,          0.00068846,           0.0012575,            0.011423,             0.00232,             0.00232,             0.00232
                  98,           0.0041573,           0.0021363,            0.030875,             0.33333,                   1,              0.3718,              0.3718,          0.00057427,           0.0022083,            0.011412,             0.00224,             0.00224,             0.00224
                  99,           0.0042209,           0.0020673,            0.029598,             0.33333,                   1,             0.37517,             0.37517,          0.00039794,           0.0019577,            0.011408,             0.00216,             0.00216,             0.00216
